ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes,easy,medium,S08_set3_a9
Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,no,easy,hard,S08_set3_a9
Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,Yes,easy,easy,S08_set3_a9
Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,yes,easy,easy,S08_set3_a9
Calvin_Coolidge,What year did Coolidge open his own law office?,1898,medium,medium,S08_set3_a9
Calvin_Coolidge,What year did Coolidge open his own law office?,1898,medium,easy,S08_set3_a9
Calvin_Coolidge,What fraternity was Coolidge a member of?,Phi Gamma Delta,medium,medium,S08_set3_a9
Calvin_Coolidge,What fraternity was Coolidge a member of?,phi gamma delta,medium,medium,S08_set3_a9
Calvin_Coolidge,In 1905 Coolidge met and married whom?,Grace Anna Goodhue,medium,medium,S08_set3_a9
Calvin_Coolidge,Why did Coolidge not attend law school?,It was too expensive,hard,hard,S08_set3_a9
Calvin_Coolidge,Why did Coolidge not attend law school?,cost,hard,too hard,S08_set3_a9
Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,No,hard,medium,S08_set3_a9
Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,no,hard,medium,S08_set3_a9
Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,hard,medium,S08_set3_a9
Canada,Did France cede nearly all of its colonies in Europe in 1763?,Yes.,easy,easy,S08_set2_a8
Canada,Did France cede nearly all of its colonies in Europe in 1763?,yes,easy,easy,S08_set2_a8
Canada,Is Canada a member of the OECD?,Yes.,easy,easy,S08_set2_a8
Canada,Is Canada a member of the OECD?,yes,easy,easy,S08_set2_a8
Canada,Is Canada's official language Zulu?,No.,easy,easy,S08_set2_a8
Canada,Is Canada's official language Zulu?,no,easy,easy,S08_set2_a8
Canada,What is one significant non-official language?,Chinese.,medium,medium,S08_set2_a8
Canada,What is one significant non-official language?,Chinese,medium,medium,S08_set2_a8
Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,medium,medium,S08_set2_a8
Canada,What was the Consitution Act formerly called?,The British North America Act.,medium,hard,S08_set2_a8
Canada,What was the Consitution Act formerly called?,British North America Act,medium,medium,S08_set2_a8
Canada,Which countries established colonies in Canada?,France and Britain.,hard,hard,S08_set2_a8
Canada,Which countries established colonies in Canada?,Fance and Britain,hard,hard,S08_set2_a8
Canada,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",hard,medium,S08_set2_a8
Canada,How has Canada helped UN peacekeeping efforts?,"Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",hard,hard,S08_set2_a8
Canada,What percentage of the population don't speak English or French at home?,28%,hard,too hard,S08_set2_a8
Canada,What percentage of the population don't speak English or French at home?,1.5%,hard,hard,S08_set2_a8
Canada,Is Canada bilingual?,Yes.,easy,easy,S08_set2_a8
Canada,Is Canada bilingual?,"Yes, it is.",easy,easy,S08_set2_a8
Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes,easy,easy,S08_set2_a8
Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,"No, it did not.",easy,hard,S08_set2_a8
Canada,Is an official language of Canada German?,No.,easy,easy,S08_set2_a8
Canada,Is an official language of Canada German?,"No, it is not.",easy,easy,S08_set2_a8
Canada,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,medium,medium,S08_set2_a8
Canada,How many provinces and territories does Canada have?,Ten provinces and three territories,medium,medium,S08_set2_a8
Canada,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",medium,medium,S08_set2_a8
Canada,What is Canada's national unemployment rate?,"In October 2007, Canada's national unemployment rate is 5.9%.",medium,medium,S08_set2_a8
Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,medium,medium,S08_set2_a8
Canada,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",hard,medium,S08_set2_a8
Canada,What is the largest country in the world?,Russia.,hard,hard,S08_set2_a8
Canada,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",hard,hard,S08_set2_a8
Canada,What is the largest religious group in Canada?,Christian,hard,hard,S08_set2_a8
Canada,When did Canada have one of the largest armed forces in the world?,1944.,hard,hard,S08_set2_a8
Canada,When did Canada have one of the largest armed forces in the world?,World War II.,hard,hard,S08_set2_a8
duck,Are ducks in the Arctic Northern Hemisphere migratory?,Some are,easy,medium,S08_set1_a10
duck,Are ducks in the Arctic Northern Hemisphere migratory?,yes,easy,easy,S08_set1_a10
duck,Is a drake a male?,Yes,easy,medium,S08_set1_a10
duck,Is a drake a male?,yes,easy,easy,S08_set1_a10
duck,"Do all ducks ""quack""?",No,easy,medium,S08_set1_a10
duck,"Do all ducks ""quack""?",no,easy,easy,S08_set1_a10
duck,What is the name of a specialized species of duck adapted to catch large fish?,the smew,medium,medium,S08_set1_a10
duck,What animal attracts the most humor and silliness?,The duck,medium,medium,S08_set1_a10
duck,What animal attracts the most humor and silliness?,the duck,medium,medium,S08_set1_a10
duck,What is an economic use of a duck?,Meat,medium,medium,S08_set1_a10
duck,What is an economic use of a duck?,being farmed for their meat,medium,medium,S08_set1_a10
duck,Who is Daffy Duck?,A silly cartoon character,hard,hard,S08_set1_a10
duck,Who is Daffy Duck?,a silly cartoon character,hard,medium,S08_set1_a10
duck,What makes it more difficult for a diving duck to fly?,They are heavier,hard,hard,S08_set1_a10
duck,What makes it more difficult for a diving duck to fly?,they are heavier,hard,hard,S08_set1_a10
duck,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",hard,too hard,S08_set1_a10
duck,Do ducks forage underwater?,yes,easy,easy,S08_set1_a10
duck,Do ducks forage underwater?,Diving ducks and sea ducks forage underwater,easy,hard,S08_set1_a10
duck,"Do all ducks ""quack""?",no,easy,medium,S08_set1_a10
duck,"Do all ducks ""quack""?",No,easy,easy,S08_set1_a10
duck,Is foie gras often made from ducks?,yes,easy,easy,S08_set1_a10
duck,Is foie gras often made from ducks?,Yes,easy,easy,S08_set1_a10
duck,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",medium,medium,S08_set1_a10
duck,What economic uses to ducks have?,"They can be farmed for meat, eggs, and feathers",medium,hard,S08_set1_a10
duck,What kind of ducks feed on land?,Dabbling ducks,medium,easy,S08_set1_a10
duck,What kind of ducks feed on land?,Dabbling ducks feed on land,medium,medium,S08_set1_a10
duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,easy,S08_set1_a10
duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium,S08_set1_a10
duck,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,hard,hard,S08_set1_a10
duck,What does the word duck mean?,to bend down low as if to get under something,hard,hard,S08_set1_a10
duck,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",hard,hard,S08_set1_a10
duck,What are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters",hard,hard,S08_set1_a10
duck,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",hard,hard,S08_set1_a10
duck,How does a Mallard's tongue work?,It uses short spikes to push struggling prey and other food down its throat,hard,hard,S08_set1_a10
duck,Are diving ducks heavier tha dabbling ducks?,Yes,easy,easy,S08_set1_a10
duck,Are adult ducks fast fliers?,Yes,easy,easy,S08_set1_a10
duck,Are ducks an accepted presence in some populated areas?,Yes,easy,easy,S08_set1_a10
duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium,S08_set1_a10
duck,Why are ducklings particularly vulnerable?,Their inability to fly.,medium,medium,S08_set1_a10
duck,Why are ducklings particularly vulnerable?,their inability to fly makes them easy prey,medium,medium,S08_set1_a10
duck,What are some economic uses for duck?,"Meat,eggs,feathers",medium,medium,S08_set1_a10
duck,What are some economic uses for duck?,"being farmed for their meat, eggs, feathers, (particularly their down)",medium,medium,S08_set1_a10
duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,hard,hard,S08_set1_a10
duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae like a whale's baleen,hard,hard,S08_set1_a10
duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,hard,hard,S08_set1_a10
duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard,S08_set1_a10
duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard,S08_set1_a10
Egypt,Is Egypt bordered by the Gaza Strip?,yes,easy,easy,S08_set2_a6
Egypt,Is Egypt bordered by the Gaza Strip?,Yes,easy,medium,S08_set2_a6
Egypt,Is Egypt the most populated country in Africa?,no,easy,medium,S08_set2_a6
Egypt,Is Egypt the most populated country in Africa?,No,easy,easy,S08_set2_a6
Egypt,Does Egypt have political influence in the Middle East?,yes,easy,easy,S08_set2_a6
Egypt,Does Egypt have political influence in the Middle East?,Yes,easy,medium,S08_set2_a6
Egypt,When was the Six Day War?,1967,medium,easy,S08_set2_a6
Egypt,When was the Six Day War?,1967,medium,medium,S08_set2_a6
Egypt,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",medium,hard,S08_set2_a6
Egypt,What religions has Egypt outlawed?,"all religions and belief except Islam, Christianity and Judaism",medium,medium,S08_set2_a6
Egypt,What is the poulation of Egypt?,more than 78 million,medium,easy,S08_set2_a6
Egypt,What is the poulation of Egypt?,78 million people,medium,hard,S08_set2_a6
Egypt,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",hard,medium,S08_set2_a6
Egypt,Why does most of Egypt's population live near the Nile?,The only arable agricultural land is found there,hard,hard,S08_set2_a6
Egypt,Are there a large number of Jews living in Egypt today?,no,hard,medium,S08_set2_a6
Egypt,Are there a large number of Jews living in Egypt today?,No,hard,hard,S08_set2_a6
Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,hard,hard,S08_set2_a6
Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom,hard,hard,S08_set2_a6
Egypt,Is Egypt in Asia?,No.,easy,easy,S08_set2_a6
Egypt,Does Egypt receive the least rainfall in the world?,Yes.,easy,easy,S08_set2_a6
Egypt,Does Egypt receive the least rainfall in the world?,Yes,easy,easy,S08_set2_a6
Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes.,easy,easy,S08_set2_a6
Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes,easy,easy,S08_set2_a6
Egypt,Since when has Egypt been a republic?,June 18 1953.,medium,medium,S08_set2_a6
Egypt,Since when has Egypt been a republic?,June 18 1953,medium,medium,S08_set2_a6
Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,medium,medium,S08_set2_a6
Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom,medium,medium,S08_set2_a6
Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",medium,hard,S08_set2_a6
Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel",medium,hard,S08_set2_a6
Egypt,What is the estimated population of Egypt?,More than 78 million.,hard,hard,S08_set2_a6
Egypt,What is the estimated population of Egypt?,78 million,hard,hard,S08_set2_a6
Egypt,Does snow fall in Egypt?,Yes.,hard,hard,S08_set2_a6
Egypt,Does snow fall in Egypt?,Yes,hard,hard,S08_set2_a6
Egypt,When did organized agriculture appear in the Nile Valley?,6000 BC.,hard,medium,S08_set2_a6
Egypt,When did organized agriculture appear in the Nile Valley?,About 6000 BC,hard,medium,S08_set2_a6
elephant,Are elephants the largest land animals alive today?,yes,easy,easy,S08_set1_a5
elephant,Can an elephant kill a rhinoceros?,yes,easy,hard,S08_set1_a5
elephant,Can an elephant kill a rhinoceros?,yes,easy,easy,S08_set1_a5
elephant,Are elephants good swimmers?,yes,easy,easy,S08_set1_a5
elephant,How many living species of African Elephants are there?,2,medium,hard,S08_set1_a5
elephant,How many living species of African Elephants are there?,"The African Elephant genus contains two (or, arguably, three) living species.",medium,medium,S08_set1_a5
elephant,How long may elephants live?,70 years,medium,medium,S08_set1_a5
elephant,How long may elephants live?,"As long as 70 years, sometimes longer.",medium,medium,S08_set1_a5
elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,medium,hard,S08_set1_a5
elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,Because it refers literally to elephants supposedly having an excellent memory.,medium,medium,S08_set1_a5
elephant,How many living species of Asian Elephants are there?,1,hard,hard,S08_set1_a5
elephant,How many living species of Asian Elephants are there?,one,hard,medium,S08_set1_a5
elephant,How much do elephants weight at birth?,120 kilograms,hard,medium,S08_set1_a5
elephant,How much do elephants weight at birth?,At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).,hard,medium,S08_set1_a5
elephant,What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,hard,hard,S08_set1_a5
elephant,What did Aristotle say about elephants?,"Aristotle once said the elephant was ""the beast which pasS08_seth all others in wit and mind.""",hard,medium,S08_set1_a5
elephant,Are elephant populations in West Africa generally small and fragmented?,yes,easy,easy,S08_set1_a5
elephant,Are elephant populations in West Africa generally small and fragmented?,Yes,easy,easy,S08_set1_a5
elephant,Is the Asian elephant larger than the African?,no,easy,easy,S08_set1_a5
elephant,Is the Asian elephant larger than the African?,Sometimes,easy,too hard,S08_set1_a5
elephant,Is an elephant's skin tough?,yes,easy,easy,S08_set1_a5
elephant,Is an elephant's skin tough?,Yes,easy,easy,S08_set1_a5
elephant,How do elephants communicate over long distances?,by producing and receiving low frequency sound,medium,medium,S08_set1_a5
elephant,How do elephants communicate over long distances?,By producing and receiving low-frequency sound (infrasound),medium,medium,S08_set1_a5
elephant,When do African elephants lie down?,when they are sick or wounded,medium,medium,S08_set1_a5
elephant,How long is the elephant's gestation period?,22 months,medium,medium,S08_set1_a5
elephant,How many species of African elephants have been proposed?,three,hard,hard,S08_set1_a5
elephant,What are the elephant's ears important for?,temperature regulation,hard,medium,S08_set1_a5
elephant,What are the elephant's ears important for?,temperature regulation,hard,hard,S08_set1_a5
elephant,What land animal has the largest brain?,elephant,hard,medium,S08_set1_a5
elephant,What land animal has the largest brain?,The elephant,hard,hard,S08_set1_a5
elephant,Are elephants mammals?,yes,easy,easy,S08_set1_a5
elephant,Are elephants mammals?,Yes,easy,easy,S08_set1_a5
elephant,Have elephants been used as working animals?,yes,easy,easy,S08_set1_a5
elephant,Have elephants been used as working animals?,Yes,easy,easy,S08_set1_a5
elephant,Do they prefer forested areas?,Yes,easy,easy,S08_set1_a5
elephant,What is the world population of Asian elephants?,60000,medium,medium,S08_set1_a5
elephant,What is the world population of Asian elephants?,"The world population of Asian elephants – also called Indian Elephants or Elephas maximus – is estimated to be around 60,000",medium,medium,S08_set1_a5
elephant,What part of an elephant is very important for temperature regulation?,Ears,medium,medium,S08_set1_a5
elephant,What part of an elephant is very important for temperature regulation?,The large flapping ears of an elephant are also very important for temperature regulation.,medium,medium,S08_set1_a5
elephant,Where was the largest elephant ever recorded shot?,Angola,medium,medium,S08_set1_a5
elephant,Where was the largest elephant ever recorded shot?,The largest elephant ever recorded was shot in Angola in 1956.,medium,medium,S08_set1_a5
elephant,Is an Asian elephant smaller than an African elephant?,yes,hard,hard,S08_set1_a5
elephant,Is an Asian elephant smaller than an African elephant?,Yes,hard,easy,S08_set1_a5
elephant,What land animal is larger than an elephant?,None,hard,hard,S08_set1_a5
elephant,What land animal is larger than an elephant?,"None, the elephant is the largest land animal.",hard,hard,S08_set1_a5
elephant,Has tusklessness become a rare abnormality?,No,hard,hard,S08_set1_a5
